Product_ID,Product_Name,Year,Month,Quantity_Sold,Unit_Price,Revenue,Brand,timestamp
P12547,Vacuum Cleaner,2000,January,495,1665.67,824506.65,Philips,2000-01-01
P03673,Smart Speaker,2000,January,482,1291.64,622570.48,Bose,2000-01-01
P06427,Monitor,2000,January,361,682.89,246523.29,HP,2000-01-02
P05203,Vacuum Cleaner,2000,January,58,1448.06,83987.48,Dyson,2000-01-02
P14995,Vacuum Cleaner,2000,January,470,1090.83,512690.1,Samsung,2000-01-03
P01225,Smartphone,2000,January,391,2870.34,1122302.94,Apple,2000-01-04
P08263,Headphones,2000,January,47,159.83,7512.01,LG,2000-01-05
P00001,Gaming Console,2000,January,436,2854.61,1244609.96,AMD,2000-01-07
P10099,Coffee Maker,2000,January,418,2324.2,971515.6,Nestle,2000-01-07
P07345,Soundbar,2000,January,111,2279.05,252974.55,JBL,2000-01-07
P11935,Headphones,2000,January,378,222.99,84290.22,Panasonic,2000-01-08
P03367,Headphones,2000,January,169,641.86,108474.34,Bose,2000-01-10
P13771,Smart TV,2000,January,414,2967.19,1228416.66,Samsung,2000-01-10
P02143,Headphones,2000,January,348,770.28,268057.44,Apple,2000-01-10
P09793,Gaming Console,2000,January,83,1678.98,139355.34,Microsoft,2000-01-10
P13159,Headphones,2000,January,426,2321.88,989120.88,Philips,2000-01-12
P01837,Smartwatch,2000,January,105,2007.39,210775.95,Apple,2000-01-12
P16525,Soundbar,2000,January,44,908.89,39991.16,Sony,2000-01-14
P02449,Tablet,2000,January,272,962.77,261873.44,Apple,2000-01-14
P07651,Smart TV,2000,January,493,1864.92,919405.56,LG,2000-01-15
P01531,Laptop,2000,January,290,234.45,67990.5,Apple,2000-01-16
P07039,Smart Speaker,2000,January,467,2144.0,1001248.0,JBL,2000-01-16
P09487,Laptop,2000,January,222,2545.58,565118.76,Microsoft,2000-01-17
P10405,Gaming Console,2000,January,142,377.1,53548.2,Nintendo,2000-01-18
P12853,Coffee Maker,2000,January,483,582.41,281304.03,Philips,2000-01-18
P11017,Smart TV,2000,January,476,96.09,45738.84,Panasonic,2000-01-19
P14689,Headphones,2000,January,199,1451.73,288894.27,Samsung,2000-01-19
P14383,Smartwatch,2000,January,440,2972.17,1307754.8,Samsung,2000-01-19
P15913,Gaming Console,2000,January,92,2368.53,217904.76,Sony,2000-01-19
P04285,Digital Camera,2000,January,328,880.95,288951.6,Canon,2000-01-20
P06121,Laptop,2000,January,87,2131.23,185417.01,HP,2000-01-20
P05815,Smart Speaker,2000,January,15,2451.5,36772.5,Google,2000-01-20
P08875,Laptop,2000,January,320,2424.53,775849.6,Lenovo,2000-01-21
P03979,Soundbar,2000,January,306,1523.87,466304.22,Bose,2000-01-21
P04897,Monitor,2000,January,470,2854.3,1341521.0,Dell,2000-01-21
P09181,Tablet,2000,January,78,791.37,61726.86,Lenovo,2000-01-21
P00613,Monitor,2000,January,117,1791.28,209579.76,Acer,2000-01-22
P07957,Refrigerator,2000,January,132,414.05,54654.6,LG,2000-01-23
P03061,Vacuum Cleaner,2000,January,189,685.76,129608.64,Beko,2000-01-23
P00307,Laptop,2000,January,238,2261.37,538206.06,Acer,2000-01-23
P05509,Smartphone,2000,January,262,2104.81,551460.22,Google,2000-01-23
P11629,Coffee Maker,2000,January,259,840.0,217560.0,Panasonic,2000-01-25
P15607,Headphones,2000,January,279,857.18,239153.22,Sony,2000-01-25
P16219,Digital Camera,2000,January,194,1377.15,267167.1,Sony,2000-01-25
P11323,Digital Camera,2000,January,2,2513.95,5027.9,Panasonic,2000-01-26
P04591,Laptop,2000,January,329,2514.68,827329.72,Dell,2000-01-26
P14077,Refrigerator,2000,January,442,2508.95,1108955.9,Samsung,2000-01-27
P06733,Headphones,2000,January,466,351.52,163808.32,JBL,2000-01-27
P10711,Gaming Console,2000,January,114,1248.5,142329.0,Nvidia,2000-01-28
P08569,Smartphone,2000,January,496,460.96,228636.16,LG,2000-01-29
P02755,Refrigerator,2000,January,358,2524.58,903799.64,Beko,2000-01-30
P00919,Smart Speaker,2000,January,295,1752.66,517034.7,Amazon,2000-01-30
P15301,Smart TV,2000,January,207,2537.46,525254.22,Sony,2000-01-30
P12241,Soundbar,2000,January,491,1768.24,868205.84,Panasonic,2000-01-31
P13465,Smartphone,2000,January,5,1972.01,9860.05,Samsung,2000-01-31
P14078,Refrigerator,2000,February,375,656.6,246225.0,Samsung,2000-02-01
P03062,Vacuum Cleaner,2000,February,362,2201.17,796823.54,Beko,2000-02-02
P08264,Headphones,2000,February,195,2723.49,531080.55,LG,2000-02-02
